query_id	emonym	cryptoclass	construction_type	classifier_pattern	variant	window	co_terms	status
liq-miedo-diluirse-pa	miedo	Res Liquidae	verbal-subject-intransitive	diluirse	PA	4	miedo|diluirse	pending
liq-miedo-diluirse-pe	miedo	Res Liquidae	verbal-subject-intransitive	diluirse	PE	4	miedo|diluirse	pending
liq-miedo-diluirse-pr	miedo	Res Liquidae	verbal-subject-intransitive	diluirse	PR	4	miedo|diluirse	pending
liq-miedo-diluirse-py	miedo	Res Liquidae	verbal-subject-intransitive	diluirse	PY	4	miedo|diluirse	pending
liq-miedo-diluirse-sv	miedo	Res Liquidae	verbal-subject-intransitive	diluirse	SV	4	miedo|diluirse	pending
liq-miedo-diluirse-uy	miedo	Res Liquidae	verbal-subject-intransitive	diluirse	UY	4	miedo|diluirse	pending
liq-miedo-diluirse-ve	miedo	Res Liquidae	verbal-subject-intransitive	diluirse	VE	4	miedo|diluirse	pending
liq-miedo-diluirse-us	miedo	Res Liquidae	verbal-subject-intransitive	diluirse	US	4	miedo|diluirse	pending
liq-miedo-inundar-ar	miedo	Res Liquidae	verbal-subject-transitive	inundar	AR	4	miedo|inundar	pending
liq-miedo-inundar-bo	miedo	Res Liquidae	verbal-subject-transitive	inundar	BO	4	miedo|inundar	pending
liq-miedo-inundar-cl	miedo	Res Liquidae	verbal-subject-transitive	inundar	CL	4	miedo|inundar	pending
liq-miedo-inundar-co	miedo	Res Liquidae	verbal-subject-transitive	inundar	CO	4	miedo|inundar	pending
liq-miedo-inundar-cr	miedo	Res Liquidae	verbal-subject-transitive	inundar	CR	4	miedo|inundar	pending
liq-miedo-inundar-cu	miedo	Res Liquidae	verbal-subject-transitive	inundar	CU	4	miedo|inundar	pending
liq-miedo-inundar-do	miedo	Res Liquidae	verbal-subject-transitive	inundar	DO	4	miedo|inundar	pending
liq-miedo-inundar-ec	miedo	Res Liquidae	verbal-subject-transitive	inundar	EC	4	miedo|inundar	pending
liq-miedo-inundar-es	miedo	Res Liquidae	verbal-subject-transitive	inundar	ES	4	miedo|inundar	pending
liq-miedo-inundar-gt	miedo	Res Liquidae	verbal-subject-transitive	inundar	GT	4	miedo|inundar	pending
liq-miedo-inundar-hn	miedo	Res Liquidae	verbal-subject-transitive	inundar	HN	4	miedo|inundar	pending
liq-miedo-inundar-mx	miedo	Res Liquidae	verbal-subject-transitive	inundar	MX	4	miedo|inundar	pending
liq-miedo-inundar-ni	miedo	Res Liquidae	verbal-subject-transitive	inundar	NI	4	miedo|inundar	pending
liq-miedo-inundar-pa	miedo	Res Liquidae	verbal-subject-transitive	inundar	PA	4	miedo|inundar	pending
liq-miedo-inundar-pe	miedo	Res Liquidae	verbal-subject-transitive	inundar	PE	4	miedo|inundar	pending
liq-miedo-inundar-pr	miedo	Res Liquidae	verbal-subject-transitive	inundar	PR	4	miedo|inundar	pending
liq-miedo-inundar-py	miedo	Res Liquidae	verbal-subject-transitive	inundar	PY	4	miedo|inundar	pending
liq-miedo-inundar-sv	miedo	Res Liquidae	verbal-subject-transitive	inundar	SV	4	miedo|inundar	pending
liq-miedo-inundar-uy	miedo	Res Liquidae	verbal-subject-transitive	inundar	UY	4	miedo|inundar	pending
liq-miedo-inundar-ve	miedo	Res Liquidae	verbal-subject-transitive	inundar	VE	4	miedo|inundar	pending
liq-miedo-inundar-us	miedo	Res Liquidae	verbal-subject-transitive	inundar	US	4	miedo|inundar	pending
liq-miedo-derramar-ar	miedo	Res Liquidae	verbal-objective	derramar	AR	4	miedo|derramar	pending
liq-miedo-derramar-bo	miedo	Res Liquidae	verbal-objective	derramar	BO	4	miedo|derramar	pending
liq-miedo-derramar-cl	miedo	Res Liquidae	verbal-objective	derramar	CL	4	miedo|derramar	pending
liq-miedo-derramar-co	miedo	Res Liquidae	verbal-objective	derramar	CO	4	miedo|derramar	pending
liq-miedo-derramar-cr	miedo	Res Liquidae	verbal-objective	derramar	CR	4	miedo|derramar	pending
liq-miedo-derramar-cu	miedo	Res Liquidae	verbal-objective	derramar	CU	4	miedo|derramar	pending
liq-miedo-derramar-do	miedo	Res Liquidae	verbal-objective	derramar	DO	4	miedo|derramar	pending
liq-miedo-derramar-ec	miedo	Res Liquidae	verbal-objective	derramar	EC	4	miedo|derramar	pending
liq-miedo-derramar-es	miedo	Res Liquidae	verbal-objective	derramar	ES	4	miedo|derramar	pending
liq-miedo-derramar-gt	miedo	Res Liquidae	verbal-objective	derramar	GT	4	miedo|derramar	pending
liq-miedo-derramar-hn	miedo	Res Liquidae	verbal-objective	derramar	HN	4	miedo|derramar	pending
liq-miedo-derramar-mx	miedo	Res Liquidae	verbal-objective	derramar	MX	4	miedo|derramar	pending
liq-miedo-derramar-ni	miedo	Res Liquidae	verbal-objective	derramar	NI	4	miedo|derramar	pending
liq-miedo-derramar-pa	miedo	Res Liquidae	verbal-objective	derramar	PA	4	miedo|derramar	pending
liq-miedo-derramar-pe	miedo	Res Liquidae	verbal-objective	derramar	PE	4	miedo|derramar	pending
liq-miedo-derramar-pr	miedo	Res Liquidae	verbal-objective	derramar	PR	4	miedo|derramar	pending
liq-miedo-derramar-py	miedo	Res Liquidae	verbal-objective	derramar	PY	4	miedo|derramar	pending
liq-miedo-derramar-sv	miedo	Res Liquidae	verbal-objective	derramar	SV	4	miedo|derramar	pending
liq-miedo-derramar-uy	miedo	Res Liquidae	verbal-objective	derramar	UY	4	miedo|derramar	pending
liq-miedo-derramar-ve	miedo	Res Liquidae	verbal-objective	derramar	VE	4	miedo|derramar	pending
liq-miedo-derramar-us	miedo	Res Liquidae	verbal-objective	derramar	US	4	miedo|derramar	pending
liq-miedo-verter-ar	miedo	Res Liquidae	verbal-objective	verter	AR	4	miedo|verter	pending
liq-miedo-verter-bo	miedo	Res Liquidae	verbal-objective	verter	BO	4	miedo|verter	pending
liq-miedo-verter-cl	miedo	Res Liquidae	verbal-objective	verter	CL	4	miedo|verter	pending
liq-miedo-verter-co	miedo	Res Liquidae	verbal-objective	verter	CO	4	miedo|verter	pending
liq-miedo-verter-cr	miedo	Res Liquidae	verbal-objective	verter	CR	4	miedo|verter	pending
liq-miedo-verter-cu	miedo	Res Liquidae	verbal-objective	verter	CU	4	miedo|verter	pending
liq-miedo-verter-do	miedo	Res Liquidae	verbal-objective	verter	DO	4	miedo|verter	pending
liq-miedo-verter-ec	miedo	Res Liquidae	verbal-objective	verter	EC	4	miedo|verter	pending
liq-miedo-verter-es	miedo	Res Liquidae	verbal-objective	verter	ES	4	miedo|verter	pending
liq-miedo-verter-gt	miedo	Res Liquidae	verbal-objective	verter	GT	4	miedo|verter	pending
liq-miedo-verter-hn	miedo	Res Liquidae	verbal-objective	verter	HN	4	miedo|verter	pending
liq-miedo-verter-mx	miedo	Res Liquidae	verbal-objective	verter	MX	4	miedo|verter	pending
liq-miedo-verter-ni	miedo	Res Liquidae	verbal-objective	verter	NI	4	miedo|verter	pending
liq-miedo-verter-pa	miedo	Res Liquidae	verbal-objective	verter	PA	4	miedo|verter	pending
liq-miedo-verter-pe	miedo	Res Liquidae	verbal-objective	verter	PE	4	miedo|verter	pending
liq-miedo-verter-pr	miedo	Res Liquidae	verbal-objective	verter	PR	4	miedo|verter	pending
liq-miedo-verter-py	miedo	Res Liquidae	verbal-objective	verter	PY	4	miedo|verter	pending
liq-miedo-verter-sv	miedo	Res Liquidae	verbal-objective	verter	SV	4	miedo|verter	pending
liq-miedo-verter-uy	miedo	Res Liquidae	verbal-objective	verter	UY	4	miedo|verter	pending
liq-miedo-verter-ve	miedo	Res Liquidae	verbal-objective	verter	VE	4	miedo|verter	pending
liq-miedo-verter-us	miedo	Res Liquidae	verbal-objective	verter	US	4	miedo|verter	pending
liq-miedo-diluir-ar	miedo	Res Liquidae	verbal-objective	diluir	AR	4	miedo|diluir	pending
liq-miedo-diluir-bo	miedo	Res Liquidae	verbal-objective	diluir	BO	4	miedo|diluir	pending
liq-miedo-diluir-cl	miedo	Res Liquidae	verbal-objective	diluir	CL	4	miedo|diluir	pending
liq-miedo-diluir-co	miedo	Res Liquidae	verbal-objective	diluir	CO	4	miedo|diluir	pending
liq-miedo-diluir-cr	miedo	Res Liquidae	verbal-objective	diluir	CR	4	miedo|diluir	pending
liq-miedo-diluir-cu	miedo	Res Liquidae	verbal-objective	diluir	CU	4	miedo|diluir	pending
liq-miedo-diluir-do	miedo	Res Liquidae	verbal-objective	diluir	DO	4	miedo|diluir	pending
liq-miedo-diluir-ec	miedo	Res Liquidae	verbal-objective	diluir	EC	4	miedo|diluir	pending
liq-miedo-diluir-es	miedo	Res Liquidae	verbal-objective	diluir	ES	4	miedo|diluir	pending
liq-miedo-diluir-gt	miedo	Res Liquidae	verbal-objective	diluir	GT	4	miedo|diluir	pending
liq-miedo-diluir-hn	miedo	Res Liquidae	verbal-objective	diluir	HN	4	miedo|diluir	pending
liq-miedo-diluir-mx	miedo	Res Liquidae	verbal-objective	diluir	MX	4	miedo|diluir	pending
liq-miedo-diluir-ni	miedo	Res Liquidae	verbal-objective	diluir	NI	4	miedo|diluir	pending
liq-miedo-diluir-pa	miedo	Res Liquidae	verbal-objective	diluir	PA	4	miedo|diluir	pending
liq-miedo-diluir-pe	miedo	Res Liquidae	verbal-objective	diluir	PE	4	miedo|diluir	pending
liq-miedo-diluir-pr	miedo	Res Liquidae	verbal-objective	diluir	PR	4	miedo|diluir	pending
liq-miedo-diluir-py	miedo	Res Liquidae	verbal-objective	diluir	PY	4	miedo|diluir	pending
liq-miedo-diluir-sv	miedo	Res Liquidae	verbal-objective	diluir	SV	4	miedo|diluir	pending
liq-miedo-diluir-uy	miedo	Res Liquidae	verbal-objective	diluir	UY	4	miedo|diluir	pending
liq-miedo-diluir-ve	miedo	Res Liquidae	verbal-objective	diluir	VE	4	miedo|diluir	pending
liq-miedo-diluir-us	miedo	Res Liquidae	verbal-objective	diluir	US	4	miedo|diluir	pending
liq-miedo-salpicar-ar	miedo	Res Liquidae	verbal-objective	salpicar	AR	4	miedo|salpicar	pending
liq-miedo-salpicar-bo	miedo	Res Liquidae	verbal-objective	salpicar	BO	4	miedo|salpicar	pending
liq-miedo-salpicar-cl	miedo	Res Liquidae	verbal-objective	salpicar	CL	4	miedo|salpicar	pending
liq-miedo-salpicar-co	miedo	Res Liquidae	verbal-objective	salpicar	CO	4	miedo|salpicar	pending
liq-miedo-salpicar-cr	miedo	Res Liquidae	verbal-objective	salpicar	CR	4	miedo|salpicar	pending
liq-miedo-salpicar-cu	miedo	Res Liquidae	verbal-objective	salpicar	CU	4	miedo|salpicar	pending
liq-miedo-salpicar-do	miedo	Res Liquidae	verbal-objective	salpicar	DO	4	miedo|salpicar	pending
liq-miedo-salpicar-ec	miedo	Res Liquidae	verbal-objective	salpicar	EC	4	miedo|salpicar	pending
liq-miedo-salpicar-es	miedo	Res Liquidae	verbal-objective	salpicar	ES	4	miedo|salpicar	pending
liq-miedo-salpicar-gt	miedo	Res Liquidae	verbal-objective	salpicar	GT	4	miedo|salpicar	pending
liq-miedo-salpicar-hn	miedo	Res Liquidae	verbal-objective	salpicar	HN	4	miedo|salpicar	pending
liq-miedo-salpicar-mx	miedo	Res Liquidae	verbal-objective	salpicar	MX	4	miedo|salpicar	pending
liq-miedo-salpicar-ni	miedo	Res Liquidae	verbal-objective	salpicar	NI	4	miedo|salpicar	pending
liq-miedo-salpicar-pa	miedo	Res Liquidae	verbal-objective	salpicar	PA	4	miedo|salpicar	pending
liq-miedo-salpicar-pe	miedo	Res Liquidae	verbal-objective	salpicar	PE	4	miedo|salpicar	pending
liq-miedo-salpicar-pr	miedo	Res Liquidae	verbal-objective	salpicar	PR	4	miedo|salpicar	pending
liq-miedo-salpicar-py	miedo	Res Liquidae	verbal-objective	salpicar	PY	4	miedo|salpicar	pending
liq-miedo-salpicar-sv	miedo	Res Liquidae	verbal-objective	salpicar	SV	4	miedo|salpicar	pending
liq-miedo-salpicar-uy	miedo	Res Liquidae	verbal-objective	salpicar	UY	4	miedo|salpicar	pending
liq-miedo-salpicar-ve	miedo	Res Liquidae	verbal-objective	salpicar	VE	4	miedo|salpicar	pending
liq-miedo-salpicar-us	miedo	Res Liquidae	verbal-objective	salpicar	US	4	miedo|salpicar	pending
liq-miedo-gotear-ar	miedo	Res Liquidae	verbal-objective	gotear	AR	4	miedo|gotear	pending
liq-miedo-gotear-bo	miedo	Res Liquidae	verbal-objective	gotear	BO	4	miedo|gotear	pending
liq-miedo-gotear-cl	miedo	Res Liquidae	verbal-objective	gotear	CL	4	miedo|gotear	pending
liq-miedo-gotear-co	miedo	Res Liquidae	verbal-objective	gotear	CO	4	miedo|gotear	pending
liq-miedo-gotear-cr	miedo	Res Liquidae	verbal-objective	gotear	CR	4	miedo|gotear	pending
liq-miedo-gotear-cu	miedo	Res Liquidae	verbal-objective	gotear	CU	4	miedo|gotear	pending
liq-miedo-gotear-do	miedo	Res Liquidae	verbal-objective	gotear	DO	4	miedo|gotear	pending
liq-miedo-gotear-ec	miedo	Res Liquidae	verbal-objective	gotear	EC	4	miedo|gotear	pending
liq-miedo-gotear-es	miedo	Res Liquidae	verbal-objective	gotear	ES	4	miedo|gotear	pending
liq-miedo-gotear-gt	miedo	Res Liquidae	verbal-objective	gotear	GT	4	miedo|gotear	pending
liq-miedo-gotear-hn	miedo	Res Liquidae	verbal-objective	gotear	HN	4	miedo|gotear	pending
liq-miedo-gotear-mx	miedo	Res Liquidae	verbal-objective	gotear	MX	4	miedo|gotear	pending
liq-miedo-gotear-ni	miedo	Res Liquidae	verbal-objective	gotear	NI	4	miedo|gotear	pending
liq-miedo-gotear-pa	miedo	Res Liquidae	verbal-objective	gotear	PA	4	miedo|gotear	pending
liq-miedo-gotear-pe	miedo	Res Liquidae	verbal-objective	gotear	PE	4	miedo|gotear	pending
liq-miedo-gotear-pr	miedo	Res Liquidae	verbal-objective	gotear	PR	4	miedo|gotear	pending
liq-miedo-gotear-py	miedo	Res Liquidae	verbal-objective	gotear	PY	4	miedo|gotear	pending
liq-miedo-gotear-sv	miedo	Res Liquidae	verbal-objective	gotear	SV	4	miedo|gotear	pending
liq-miedo-gotear-uy	miedo	Res Liquidae	verbal-objective	gotear	UY	4	miedo|gotear	pending
liq-miedo-gotear-ve	miedo	Res Liquidae	verbal-objective	gotear	VE	4	miedo|gotear	pending
liq-miedo-gotear-us	miedo	Res Liquidae	verbal-objective	gotear	US	4	miedo|gotear	pending
liq-miedo-inundado-por-ar	miedo	Res Liquidae	verbal-instrumental	inundado por	AR	4	miedo|inundado por	pending
liq-miedo-inundado-por-bo	miedo	Res Liquidae	verbal-instrumental	inundado por	BO	4	miedo|inundado por	pending
liq-miedo-inundado-por-cl	miedo	Res Liquidae	verbal-instrumental	inundado por	CL	4	miedo|inundado por	pending
liq-miedo-inundado-por-co	miedo	Res Liquidae	verbal-instrumental	inundado por	CO	4	miedo|inundado por	pending
liq-miedo-inundado-por-cr	miedo	Res Liquidae	verbal-instrumental	inundado por	CR	4	miedo|inundado por	pending
liq-miedo-inundado-por-cu	miedo	Res Liquidae	verbal-instrumental	inundado por	CU	4	miedo|inundado por	pending
liq-miedo-inundado-por-do	miedo	Res Liquidae	verbal-instrumental	inundado por	DO	4	miedo|inundado por	pending
liq-miedo-inundado-por-ec	miedo	Res Liquidae	verbal-instrumental	inundado por	EC	4	miedo|inundado por	pending
liq-miedo-inundado-por-es	miedo	Res Liquidae	verbal-instrumental	inundado por	ES	4	miedo|inundado por	pending
liq-miedo-inundado-por-gt	miedo	Res Liquidae	verbal-instrumental	inundado por	GT	4	miedo|inundado por	pending
liq-miedo-inundado-por-hn	miedo	Res Liquidae	verbal-instrumental	inundado por	HN	4	miedo|inundado por	pending
liq-miedo-inundado-por-mx	miedo	Res Liquidae	verbal-instrumental	inundado por	MX	4	miedo|inundado por	pending
liq-miedo-inundado-por-ni	miedo	Res Liquidae	verbal-instrumental	inundado por	NI	4	miedo|inundado por	pending
liq-miedo-inundado-por-pa	miedo	Res Liquidae	verbal-instrumental	inundado por	PA	4	miedo|inundado por	pending
liq-miedo-inundado-por-pe	miedo	Res Liquidae	verbal-instrumental	inundado por	PE	4	miedo|inundado por	pending
liq-miedo-inundado-por-pr	miedo	Res Liquidae	verbal-instrumental	inundado por	PR	4	miedo|inundado por	pending
liq-miedo-inundado-por-py	miedo	Res Liquidae	verbal-instrumental	inundado por	PY	4	miedo|inundado por	pending
liq-miedo-inundado-por-sv	miedo	Res Liquidae	verbal-instrumental	inundado por	SV	4	miedo|inundado por	pending
liq-miedo-inundado-por-uy	miedo	Res Liquidae	verbal-instrumental	inundado por	UY	4	miedo|inundado por	pending
liq-miedo-inundado-por-ve	miedo	Res Liquidae	verbal-instrumental	inundado por	VE	4	miedo|inundado por	pending
liq-miedo-inundado-por-us	miedo	Res Liquidae	verbal-instrumental	inundado por	US	4	miedo|inundado por	pending
liq-miedo-inundar-de-ar	miedo	Res Liquidae	verbal-instrumental	inundar de	AR	4	miedo|inundar de	pending
liq-miedo-inundar-de-bo	miedo	Res Liquidae	verbal-instrumental	inundar de	BO	4	miedo|inundar de	pending
liq-miedo-inundar-de-cl	miedo	Res Liquidae	verbal-instrumental	inundar de	CL	4	miedo|inundar de	pending
liq-miedo-inundar-de-co	miedo	Res Liquidae	verbal-instrumental	inundar de	CO	4	miedo|inundar de	pending
liq-miedo-inundar-de-cr	miedo	Res Liquidae	verbal-instrumental	inundar de	CR	4	miedo|inundar de	pending
liq-miedo-inundar-de-cu	miedo	Res Liquidae	verbal-instrumental	inundar de	CU	4	miedo|inundar de	pending
liq-miedo-inundar-de-do	miedo	Res Liquidae	verbal-instrumental	inundar de	DO	4	miedo|inundar de	pending
liq-miedo-inundar-de-ec	miedo	Res Liquidae	verbal-instrumental	inundar de	EC	4	miedo|inundar de	pending
liq-miedo-inundar-de-es	miedo	Res Liquidae	verbal-instrumental	inundar de	ES	4	miedo|inundar de	pending
liq-miedo-inundar-de-gt	miedo	Res Liquidae	verbal-instrumental	inundar de	GT	4	miedo|inundar de	pending
liq-miedo-inundar-de-hn	miedo	Res Liquidae	verbal-instrumental	inundar de	HN	4	miedo|inundar de	pending
liq-miedo-inundar-de-mx	miedo	Res Liquidae	verbal-instrumental	inundar de	MX	4	miedo|inundar de	pending
liq-miedo-inundar-de-ni	miedo	Res Liquidae	verbal-instrumental	inundar de	NI	4	miedo|inundar de	pending
liq-miedo-inundar-de-pa	miedo	Res Liquidae	verbal-instrumental	inundar de	PA	4	miedo|inundar de	pending
liq-miedo-inundar-de-pe	miedo	Res Liquidae	verbal-instrumental	inundar de	PE	4	miedo|inundar de	pending
liq-miedo-inundar-de-pr	miedo	Res Liquidae	verbal-instrumental	inundar de	PR	4	miedo|inundar de	pending
