id	cryptoclass	emonym	country	construction_type	classifier_lemma	citation_es	source	source_file	source_sheet	source_locator	frequency	freq_role
con-ira-es-0001	Res Continens	ira	ES	verbal-objective	destapar	Cualquier acción puede destapar las iras de un sector de la comunidad	manual	RES CONTINENS.xlsx	ira	B10	1	example
con-ira-es-0002	Res Continens	ira	ES	verbal-objective	destapar	mo la pólvora por Brasil hasta convertir se en virales y, lógicamente, destapar las iras de los aficionados	manual	RES CONTINENS.xlsx	ira	B10	1	example
con-ira-es-0003	Res Continens	ira	ES	verbal-objective	destapar	Golazo impactante de Iago Aspas, el Che Guevara de el partido, el que destapó la ira de una selección empequeñecida	manual	RES CONTINENS.xlsx	ira	B10	1	example
con-ira-es-0004	Res Continens	ira	ES	verbal-objective	destapar	un abogado frustrado, con problemas económicos, que destapó su ira atentando contra individuos	manual	RES CONTINENS.xlsx	ira	B10	1	example
con-ira-es-0005	Res Continens	ira	ES	verbal-locative-into	caer en	No podía caer en la ira o, por poner de ejemplo otro extremo, en el sentimentalismo	manual	RES CONTINENS.xlsx	ira	H10	1	example
con-ira-hn-0001	Res Continens	ira	HN	verbal-locative-state		un buen nivel de consciencia que se ubique en la paz y no en la ira, la venganza, la división o los mensajes de guerra	manual	RES CONTINENS.xlsx	ira	F12	1	example
con-ira-mx-0001	Res Continens	ira	MX	verbal-objective	vaciar	quien tuvo piedad de no vaciar su ira en los últimos 45 segundos de el asalto.	manual	RES CONTINENS.xlsx	ira	B13	1	example
con-ira-mx-0002	Res Continens	ira	MX	verbal-instrumental	encontrarse en	encontraba consuelo en la ira porque me convertía oficialmente en madre	manual	RES CONTINENS.xlsx	ira	E13	1	example
con-ira-mx-0003	Res Continens	ira	MX	verbal-instrumental	encontrarse en	La sociedad parece encontrar en la ira la válvula de salida de todo el enojo acumulado	manual	RES CONTINENS.xlsx	ira	E13	1	example
con-ira-mx-0004	Res Continens	ira	MX	verbal-locative-state	estar en	1( un buen nivel de consciencia que se ubique en la paz y no en la ira, la venganza, la división o los mensajes de guerr	manual	RES CONTINENS.xlsx	ira	F13	1	example
con-ira-mx-0005	Res Continens	ira	MX	verbal-locative-state	estar en	Cuando se añoran los elogios de otros y se vive en la ira, los infortunios están garantizados	manual	RES CONTINENS.xlsx	ira	F13	1	example
con-ira-ni-0001	Res Continens	ira	NI	verbal-locative-into	caer en	la negociación que me hagan caer en la necesidad de huir o en la ira y que debo hacer para evitar tal situació	manual	RES CONTINENS.xlsx	ira	H14	1	example
con-ira-ni-0002	Res Continens	ira	NI	verbal-locative-into	caer en	los feligreses en su homilía de el domingo a " no caer en la ira, el odio, la venganza	manual	RES CONTINENS.xlsx	ira	H14	1	example
con-ira-pa-0001	Res Continens	ira	PA	verbal-objective	destapar	destruir un laboratorio de cocaína en Darién, lo que destapó la ira de el capo colombiano	manual	RES CONTINENS.xlsx	ira	B15	1	example
con-ira-py-0001	Res Continens	ira	PY	verbal-locative-state	dentro de	Dentro de la ira de las personas, no faltó tampoco el humor, como el cambio	manual	RES CONTINENS.xlsx	ira	F18	1	example
con-ira-us-0001	Res Continens	ira	US	verbal-locative-state		un buen nivel de consciencia que se ubique en la paz y no en la ira, la venganza,	manual	RES CONTINENS.xlsx	ira	F22	1	example
con-ira-us-0002	Res Continens	ira	US	verbal-locative-into	caer en	a en lugar de caer en la ira facilita el hecho de obedecer la ley universal de la bonda	manual	RES CONTINENS.xlsx	ira	H22	1	example
con-ira-ve-0001	Res Continens	ira	VE	verbal-objective	destapar	todo esto destapo la ira de la MAFIA	manual	RES CONTINENS.xlsx	ira	B21	1	example
fil-ira-ar-0001	Res Filiformes	ira	AR	verbal-objective	desatar	desatar ira	manual	Res Filiformes.xlsx	IRA	B2	183	inline
fil-ira-ar-0002	Res Filiformes	ira	AR	verbal-subject-intransitive	desatarse	desatar ira	manual	Res Filiformes.xlsx	IRA	C2	7	inline
fil-ira-ar-0003	Res Filiformes	ira	AR	attributive	desatado	desatada ira	manual	Res Filiformes.xlsx	IRA	F2	2	inline
fil-ira-bo-0001	Res Filiformes	ira	BO	verbal-objective	desatar	desatar ira	manual	Res Filiformes.xlsx	IRA	B3	23	inline
fil-ira-cl-0001	Res Filiformes	ira	CL	verbal-objective	desatar	desatar ira	manual	Res Filiformes.xlsx	IRA	B4	177	inline
fil-ira-cl-0002	Res Filiformes	ira	CL	verbal-subject-intransitive	desatarse	desatar ira	manual	Res Filiformes.xlsx	IRA	C4	4	inline
fil-ira-co-0001	Res Filiformes	ira	CO	verbal-objective	desatar	desatar ira	manual	Res Filiformes.xlsx	IRA	B5	118	inline
fil-ira-co-0002	Res Filiformes	ira	CO	verbal-subject-intransitive	desatarse	desatar ira	manual	Res Filiformes.xlsx	IRA	C5	2	inline
fil-ira-co-0003	Res Filiformes	ira	CO	attributive	desatado	desatada ira	manual	Res Filiformes.xlsx	IRA	F5	3	inline
fil-ira-cr-0001	Res Filiformes	ira	CR	verbal-objective	desatar	desatar ira	manual	Res Filiformes.xlsx	IRA	B6	25	inline
fil-ira-cr-0002	Res Filiformes	ira	CR	verbal-subject-intransitive	desatarse	desatar ira	manual	Res Filiformes.xlsx	IRA	C6	2	inline
fil-ira-cu-0001	Res Filiformes	ira	CU	verbal-objective	desatar	desatar ira	manual	Res Filiformes.xlsx	IRA	B7	17	inline
fil-ira-cu-0002	Res Filiformes	ira	CU	attributive	desatado	desatada ira	manual	Res Filiformes.xlsx	IRA	F7	3	inline
fil-ira-do-0001	Res Filiformes	ira	DO	verbal-objective	desatar	desatar ira	manual	Res Filiformes.xlsx	IRA	B8	165	inline
fil-ira-do-0002	Res Filiformes	ira	DO	verbal-subject-intransitive	desatarse	desatar ira	manual	Res Filiformes.xlsx	IRA	C8	2	inline
fil-ira-do-0003	Res Filiformes	ira	DO	attributive	desatado	desatada ira	manual	Res Filiformes.xlsx	IRA	F8	2	inline
fil-ira-ec-0001	Res Filiformes	ira	EC	verbal-objective	desatar	desatar ira	manual	Res Filiformes.xlsx	IRA	B9	16	inline
fil-ira-ec-0002	Res Filiformes	ira	EC	verbal-subject-intransitive	desatarse	desatar ira	manual	Res Filiformes.xlsx	IRA	C9	2	inline
fil-ira-es-0001	Res Filiformes	ira	ES	verbal-objective	desatar	desatar ira	manual	Res Filiformes.xlsx	IRA	B10	181	inline
fil-ira-es-0002	Res Filiformes	ira	ES	verbal-subject-intransitive	desatarse	desatar ira	manual	Res Filiformes.xlsx	IRA	C10	11	inline
fil-ira-es-0003	Res Filiformes	ira	ES	attributive	desatado	desatada ira	manual	Res Filiformes.xlsx	IRA	F10	5	inline
fil-ira-gt-0001	Res Filiformes	ira	GT	verbal-objective	desatar	desatar ira	manual	Res Filiformes.xlsx	IRA	B11	7	inline
fil-ira-hn-0001	Res Filiformes	ira	HN	verbal-objective	desatar	desatar ira	manual	Res Filiformes.xlsx	IRA	B12	7	inline
fil-ira-hn-0002	Res Filiformes	ira	HN	verbal-subject-intransitive	desatarse	desatar ira	manual	Res Filiformes.xlsx	IRA	C12	2	inline
fil-ira-mx-0001	Res Filiformes	ira	MX	verbal-objective	desatar	desatar ira	manual	Res Filiformes.xlsx	IRA	B13	157	inline
fil-ira-mx-0002	Res Filiformes	ira	MX	verbal-subject-intransitive	desatarse	desatar ira	manual	Res Filiformes.xlsx	IRA	C13	2	inline
fil-ira-mx-0003	Res Filiformes	ira	MX	verbal-subject-intransitive	desatarse	La ira y el miedo se entrelazan hoy en amplios sectores de una sociedad mexicana	manual	Res Filiformes.xlsx	IRA	C13	0	illustrative
fil-ira-mx-0004	Res Filiformes	ira	MX	attributive	desatado	desatada ira	manual	Res Filiformes.xlsx	IRA	F13	2	inline
fil-ira-ni-0001	Res Filiformes	ira	NI	verbal-objective	desatar	desatar ira	manual	Res Filiformes.xlsx	IRA	B14	6	inline
fil-ira-ni-0002	Res Filiformes	ira	NI	verbal-subject-intransitive	desatarse	desatar ira	manual	Res Filiformes.xlsx	IRA	C14	1	inline
fil-ira-pa-0001	Res Filiformes	ira	PA	verbal-objective	desatar	desatar ira	manual	Res Filiformes.xlsx	IRA	B15	26	inline
fil-ira-pa-0002	Res Filiformes	ira	PA	verbal-subject-intransitive	desatarse	desatar ira	manual	Res Filiformes.xlsx	IRA	C15	2	inline
fil-ira-pe-0001	Res Filiformes	ira	PE	verbal-objective	desatar	desatar ira	manual	Res Filiformes.xlsx	IRA	B16	227	inline
fil-ira-pe-0002	Res Filiformes	ira	PE	verbal-subject-intransitive	desatarse	desatar ira	manual	Res Filiformes.xlsx	IRA	C16	2	inline
fil-ira-pe-0003	Res Filiformes	ira	PE	attributive	desatado	desatada ira	manual	Res Filiformes.xlsx	IRA	F16	2	inline
fil-ira-pr-0001	Res Filiformes	ira	PR	verbal-objective	desatar	desatar ira	manual	Res Filiformes.xlsx	IRA	B17	7	inline
fil-ira-pr-0002	Res Filiformes	ira	PR	verbal-subject-intransitive	desatarse	desatar ira	manual	Res Filiformes.xlsx	IRA	C17	1	inline
fil-ira-pr-0003	Res Filiformes	ira	PR	attributive	desatado	desatada ira	manual	Res Filiformes.xlsx	IRA	F17	1	inline
fil-ira-py-0001	Res Filiformes	ira	PY	verbal-objective	desatar	desatar ira	manual	Res Filiformes.xlsx	IRA	B18	19	inline
fil-ira-py-0002	Res Filiformes	ira	PY	verbal-subject-intransitive	desatarse	desatar ira	manual	Res Filiformes.xlsx	IRA	C18	2	inline
fil-ira-sv-0001	Res Filiformes	ira	SV	verbal-objective	desatar	desatar ira	manual	Res Filiformes.xlsx	IRA	B19	9	inline
fil-ira-us-0001	Res Filiformes	ira	US	verbal-objective	desatar	desatar ira	manual	Res Filiformes.xlsx	IRA	B22	78	inline
fil-ira-us-0002	Res Filiformes	ira	US	verbal-subject-intransitive	desatarse	desatar ira	manual	Res Filiformes.xlsx	IRA	C22	2	inline
fil-ira-us-0003	Res Filiformes	ira	US	verbal-subject-transitive		la ira divina pende sobre nosotros a menos y hasta que sea quitada	manual	Res Filiformes.xlsx	IRA	D22	1	example
fil-ira-us-0004	Res Filiformes	ira	US	attributive	desatado	desatada ira	manual	Res Filiformes.xlsx	IRA	F22	1	inline
fil-ira-uy-0001	Res Filiformes	ira	UY	verbal-objective	desatar	desatar ira	manual	Res Filiformes.xlsx	IRA	B20	16	inline
fil-ira-uy-0002	Res Filiformes	ira	UY	verbal-subject-intransitive	desatarse	desatar ira	manual	Res Filiformes.xlsx	IRA	C20	1	inline
fil-ira-ve-0001	Res Filiformes	ira	VE	verbal-objective	desatar	desatar ira	manual	Res Filiformes.xlsx	IRA	B21	27	inline
fil-ira-ve-0002	Res Filiformes	ira	VE	verbal-subject-intransitive	desatarse	desatar ira	manual	Res Filiformes.xlsx	IRA	C21	6	inline
fil-ira-ve-0003	Res Filiformes	ira	VE	attributive	desatado	desatada ira	manual	Res Filiformes.xlsx	IRA	F21	1	inline
liq-ira-ar-0001	Res Liquidae	ira	AR	verbal-subject-transitive	inundar	Sin llegar a el extremo de la ira popular que inundó Reikjav	manual	RES LIQUIDAE COR.xlsx	ira	C2	1	example
liq-ira-ar-0002	Res Liquidae	ira	AR	verbal-subject-intransitive	brotar	uedo jurar que la ira brotó en mí..	manual	RES LIQUIDAE COR.xlsx	ira	D2	1	example
liq-ira-bo-0001	Res Liquidae	ira	BO	verbal-subject-intransitive	brotar	La ira brota, la adrenalina se sube al máximo	manual	RES LIQUIDAE COR.xlsx	ira	D3	1	example
liq-ira-co-0001	Res Liquidae	ira	CO	verbal-objective	derramar	que salen en estos foros derramando su ira e hipocresía	manual	RES LIQUIDAE COR.xlsx	ira	B5	1	example
liq-ira-co-0002	Res Liquidae	ira	CO	verbal-instrumental	inundar de	l bíblico adjetivo de las " pescas milagrosas " que inundaron de espanto y de ira a el país.	manual	RES LIQUIDAE COR.xlsx	ira	G5	1	example
liq-ira-cr-0001	Res Liquidae	ira	CR	verbal-subject-intransitive	brotar	podría brotar la ira cívica como en 1889	manual	RES LIQUIDAE COR.xlsx	ira	D6	1	example
liq-ira-cu-0001	Res Liquidae	ira	CU	substantive	torrente	pero se ha transformado en un torrente de ira más amplio por la presión que sufre la clase media...	manual	RES LIQUIDAE COR.xlsx	ira	E7	1	example
liq-ira-do-0001	Res Liquidae	ira	DO	verbal-objective	derramar	ampoco debemos «derramar veneno de la ira y golpear con la calumnia	manual	RES LIQUIDAE COR.xlsx	ira	B8	1	example
liq-ira-do-0002	Res Liquidae	ira	DO	verbal-instrumental	rebosar	Habría sido asfixiada por su expareja, que fue rebosado por la ira porque aparentemente esta no quería seguir con él.	manual	RES LIQUIDAE COR.xlsx	ira	G8	1	example
liq-ira-es-0001	Res Liquidae	ira	ES	verbal-objective	derramar	ellos pueden derramar su ira de mercenarios de alma vendida por un salario	manual	RES LIQUIDAE COR.xlsx	ira	B10	1	example
liq-ira-es-0002	Res Liquidae	ira	ES	verbal-subject-transitive	salpicar	Su ira también salpica a el director deportivo,	manual	RES LIQUIDAE COR.xlsx	ira	C10	1	example
liq-ira-es-0003	Res Liquidae	ira	ES	verbal-subject-transitive	inundar	no le tiembla el pulso y le inunda la ira	manual	RES LIQUIDAE COR.xlsx	ira	C10	1	example
liq-ira-es-0004	Res Liquidae	ira	ES	verbal-subject-transitive	inundar	Esta gente cuando les inunda la ira, deberían poner se una buena canció	manual	RES LIQUIDAE COR.xlsx	ira	C10	1	example
liq-ira-es-0005	Res Liquidae	ira	ES	verbal-subject-intransitive	brotar	...cuando de nuestro error nos brota la ira, el enfado o la tristeza...	manual	RES LIQUIDAE COR.xlsx	ira	D10	1	example
liq-ira-es-0006	Res Liquidae	ira	ES	verbal-subject-intransitive	brotar	...Una cifra nada desdeñable que hacía brotar la ira de la actriz...	manual	RES LIQUIDAE COR.xlsx	ira	D10	1	example
liq-ira-es-0007	Res Liquidae	ira	ES	verbal-subject-intransitive	brotar	Cuando consideramos que alguien nos ha hecho o nos hace un mal grave nos brota la ira, la furia.	manual	RES LIQUIDAE COR.xlsx	ira	D10	1	example
liq-ira-es-0008	Res Liquidae	ira	ES	verbal-subject-intransitive	brotar	Esta vez la ira ha brotado entre sus propios miembros, cuando una discusión en el Parlamento Europeo...	manual	RES LIQUIDAE COR.xlsx	ira	D10	1	example
liq-ira-es-0009	Res Liquidae	ira	ES	verbal-subject-intransitive	brotar	Incapaz de saldarla, con sus negocios a punto de quebrar, brotaría en él la ira que sació a golpe de gatillo.	manual	RES LIQUIDAE COR.xlsx	ira	D10	1	example
liq-ira-es-0010	Res Liquidae	ira	ES	verbal-subject-intransitive	fluir	ha dejado fluir toda su ira contra Electronic Arts a través de su cuenta de Twitter	manual	RES LIQUIDAE COR.xlsx	ira	D10	1	example
liq-ira-es-0011	Res Liquidae	ira	ES	substantive	torrente	Dirigentes y ayatolás iraníes han manifestado un torrente de ira contra su competidor regional...	manual	RES LIQUIDAE COR.xlsx	ira	E10	1	example
liq-ira-es-0012	Res Liquidae	ira	ES	attributive	derramado	¡tanta ira derramada en afanes contingente	manual	RES LIQUIDAE COR.xlsx	ira	F10	1	example
liq-ira-es-0013	Res Liquidae	ira	ES	verbal-instrumental	inundar de	errorizada en su propio hogar mientras lanzaba, inundado de ira, toda suerte de objetos a la call	manual	RES LIQUIDAE COR.xlsx	ira	G10	1	example
liq-ira-gt-0001	Res Liquidae	ira	GT	verbal-objective	diluir	El pensamiento positivo, por el contrario, ayuda a diluir tu ira y trae más cosas buenas que se sienten bien.	manual	RES LIQUIDAE COR.xlsx	ira	B11	1	example
liq-ira-hn-0001	Res Liquidae	ira	HN	verbal-subject-intransitive	derramar	No permitan que su ira y frustración se derrame en la conversación	manual	RES LIQUIDAE COR.xlsx	ira	D12	1	example
liq-ira-mx-0001	Res Liquidae	ira	MX	verbal-objective	derramar	donde rescatará a su iglesia y Dios derramará su ira sobre el mundo por el rechazo de su Hijo	manual	RES LIQUIDAE COR.xlsx	ira	B13	1	example
liq-ira-mx-0002	Res Liquidae	ira	MX	verbal-subject-intransitive	brotar	También brotó esa ira profunda que nace de las humillaciones y sufrimiento de la gente, desde...	manual	RES LIQUIDAE COR.xlsx	ira	D13	1	example
liq-ira-mx-0003	Res Liquidae	ira	MX	verbal-subject-intransitive	brotar	2Apenas se conoció el homicidio de Catrillanca, brotaron el malestar y la ira.	manual	RES LIQUIDAE COR.xlsx	ira	D13	1	example
liq-ira-mx-0004	Res Liquidae	ira	MX	verbal-subject-intransitive	brotar	3Los spectacles violentos representan la ira colectiva que brotá de un corazón desesperanzado.	manual	RES LIQUIDAE COR.xlsx	ira	D13	1	example
liq-ira-mx-0005	Res Liquidae	ira	MX	verbal-subject-intransitive	brotar	estamos viendo una gran ira acumulada que brotó desde lo más profundo de los tantos agravios a la población.	manual	RES LIQUIDAE COR.xlsx	ira	D13	1	example
liq-ira-mx-0006	Res Liquidae	ira	MX	substantive	torrente	.pero se ha transformado en un torrente de ira más amplio por la presión que sufre la clase media...	manual	RES LIQUIDAE COR.xlsx	ira	E13	1	example
liq-ira-mx-0007	Res Liquidae	ira	MX	substantive	torrente	Un respetado artista mira fijo a la cámara y deja salir un torrente de ira y frustración hacia su enemigo.	manual	RES LIQUIDAE COR.xlsx	ira	E13	1	example
liq-ira-mx-0008	Res Liquidae	ira	MX	substantive	torrente	El escándalo ha provocado un torrente poco común de ira en la opinión pública.	manual	RES LIQUIDAE COR.xlsx	ira	E13	1	example
liq-ira-pe-0001	Res Liquidae	ira	PE	verbal-subject-intransitive	fluir	dejar fluir toda su ira	manual	RES LIQUIDAE COR.xlsx	ira	D16	1	example
liq-ira-pe-0002	Res Liquidae	ira	PE	verbal-subject-intransitive	derramar	que si insistían en enviar a sus niños a la escuela, se derramaría sobre ellos la ira divina	manual	RES LIQUIDAE COR.xlsx	ira	D16	1	example
liq-ira-pe-0003	Res Liquidae	ira	PE	verbal-instrumental	inundar de	Twitter, una red social inundada de una mezcla de ira y bur la.	manual	RES LIQUIDAE COR.xlsx	ira	G16	1	example
liq-ira-sv-0001	Res Liquidae	ira	SV	verbal-objective	rebosar	Con un discurso que rebosa ira y enfado, el presidente de Guatemala, Jimmy Morales, ha decido cerrar	manual	RES LIQUIDAE COR.xlsx	ira	B19	1	example
liq-ira-us-0001	Res Liquidae	ira	US	verbal-objective	rebosar	muy pocas campañas publicitarias rebosan ira por todos los poros	manual	RES LIQUIDAE COR.xlsx	ira	B22	1	example
liq-ira-us-0002	Res Liquidae	ira	US	verbal-subject-intransitive	fluir	sí que dejarán fluir su ira libremente hasta que se les pase	manual	RES LIQUIDAE COR.xlsx	ira	D22	1	example
liq-ira-us-0003	Res Liquidae	ira	US	verbal-subject-intransitive	brotar	Ambas campañas utilizan la ira (controlada) que brotá de desigualdad de género para ayudar a la gente...	manual	RES LIQUIDAE COR.xlsx	ira	D22	1	example
liq-ira-us-0004	Res Liquidae	ira	US	verbal-subject-intransitive	brotar	.2 un lector sensible rechaza de inmediato al personaje siniestro sintiendo una ira que brotá natural...	manual	RES LIQUIDAE COR.xlsx	ira	D22	1	example
liq-ira-us-0005	Res Liquidae	ira	US	substantive	torrente	.pero se ha transformado en un torrente de ira más amplio por la presión que sufre la clase media por el coste	manual	RES LIQUIDAE COR.xlsx	ira	E22	1	example
liq-ira-us-0006	Res Liquidae	ira	US	attributive	derramado	La Biblia habla acerca de la ira de Dios derramada en la cruz.	manual	RES LIQUIDAE COR.xlsx	ira	F22	1	example
liq-ira-ve-0001	Res Liquidae	ira	VE	verbal-objective	diluir	No hay nada más efectivo para diluir la ira de la población que desviar le la atención hacia lo realmente vita	manual	RES LIQUIDAE COR.xlsx	ira	B21	1	example
liq-ira-ve-0002	Res Liquidae	ira	VE	verbal-subject-intransitive	brotar	A Romero le brotó la ira y comenzó a golpear de forma incesante a su pareja	manual	RES LIQUIDAE COR.xlsx	ira	D21	1	example
liq-ira-ve-0003	Res Liquidae	ira	VE	substantive	torrente	deja salir un torrente de ira y frustración hacia su enemigo.	manual	RES LIQUIDAE COR.xlsx	ira	E21	1	example
par-ira-ar-0001	Res Parvae	ira	AR	verbal-objective-grasp	coger	coger ira	manual	Res Parvae.xlsx	ira	B2	0	absent
par-ira-ar-0002	Res Parvae	ira	AR	verbal-objective-grasp	agarrar	agarrar ira	manual	Res Parvae.xlsx	ira	B2	0	absent
par-ira-ar-0003	Res Parvae	ira	AR	verbal-objective-throw	soltar	soltar ira	manual	Res Parvae.xlsx	ira	C2	0	absent
par-ira-bo-0001	Res Parvae	ira	BO	verbal-objective-grasp	coger	coger ira	manual	Res Parvae.xlsx	ira	B3	0	absent
par-ira-bo-0002	Res Parvae	ira	BO	verbal-objective-grasp	agarrar	agarrar ira	manual	Res Parvae.xlsx	ira	B3	0	absent
par-ira-bo-0003	Res Parvae	ira	BO	verbal-objective-throw	soltar	soltar ira	manual	Res Parvae.xlsx	ira	C3	0	absent
par-ira-cl-0001	Res Parvae	ira	CL	verbal-objective-grasp	coger	coger ira	manual	Res Parvae.xlsx	ira	B4	0	absent
par-ira-cl-0002	Res Parvae	ira	CL	verbal-objective-grasp	agarrar	agarrar ira	manual	Res Parvae.xlsx	ira	B4	0	absent
par-ira-cl-0003	Res Parvae	ira	CL	verbal-objective-throw	soltar	soltar ira	manual	Res Parvae.xlsx	ira	C4	0	absent
par-ira-co-0001	Res Parvae	ira	CO	verbal-objective-grasp	coger	coger ira	manual	Res Parvae.xlsx	ira	B5	1	inline
par-ira-co-0002	Res Parvae	ira	CO	verbal-objective-grasp	agarrar	agarrar ira	manual	Res Parvae.xlsx	ira	B5	0	absent
par-ira-co-0003	Res Parvae	ira	CO	verbal-objective-grasp	traer	Convocados solo por la sabiduría reparadora que trae la ira popular,	manual	Res Parvae.xlsx	ira	B5	1	example
par-ira-co-0004	Res Parvae	ira	CO	verbal-objective-throw	soltar	soltar ira	manual	Res Parvae.xlsx	ira	C5	0	absent
par-ira-cr-0001	Res Parvae	ira	CR	verbal-objective-grasp	coger	coger ira	manual	Res Parvae.xlsx	ira	B6	0	absent
par-ira-cr-0002	Res Parvae	ira	CR	verbal-objective-grasp	agarrar	agarrar ira	manual	Res Parvae.xlsx	ira	B6	0	absent
par-ira-cr-0003	Res Parvae	ira	CR	verbal-objective-throw	soltar	soltar ira	manual	Res Parvae.xlsx	ira	C6	0	absent
par-ira-cu-0001	Res Parvae	ira	CU	verbal-objective-grasp	coger	coger ira	manual	Res Parvae.xlsx	ira	B7	0	absent
par-ira-cu-0002	Res Parvae	ira	CU	verbal-objective-grasp	agarrar	agarrar ira	manual	Res Parvae.xlsx	ira	B7	0	absent
par-ira-cu-0003	Res Parvae	ira	CU	verbal-objective-throw	soltar	soltar ira	manual	Res Parvae.xlsx	ira	C7	0	absent
par-ira-do-0001	Res Parvae	ira	DO	verbal-objective-grasp	coger	coger ira	manual	Res Parvae.xlsx	ira	B8	0	absent
par-ira-do-0002	Res Parvae	ira	DO	verbal-objective-grasp	agarrar	agarrar ira	manual	Res Parvae.xlsx	ira	B8	0	absent
par-ira-do-0003	Res Parvae	ira	DO	verbal-objective-throw	soltar	soltar ira	manual	Res Parvae.xlsx	ira	C8	0	absent
par-ira-ec-0001	Res Parvae	ira	EC	verbal-objective-grasp	coger	coger ira	manual	Res Parvae.xlsx	ira	B9	0	absent
par-ira-ec-0002	Res Parvae	ira	EC	verbal-objective-grasp	agarrar	agarrar ira	manual	Res Parvae.xlsx	ira	B9	0	absent
par-ira-ec-0003	Res Parvae	ira	EC	verbal-objective-throw	soltar	soltar ira	manual	Res Parvae.xlsx	ira	C9	0	absent
par-ira-es-0001	Res Parvae	ira	ES	verbal-objective-grasp	coger	coger ira	manual	Res Parvae.xlsx	ira	B10	0	absent
par-ira-es-0002	Res Parvae	ira	ES	verbal-objective-grasp	agarrar	agarrar ira	manual	Res Parvae.xlsx	ira	B10	0	absent
par-ira-es-0003	Res Parvae	ira	ES	verbal-objective-grasp	traer	hubo una acción en el segundo tiempo que trajo la ira de los jugadores	manual	Res Parvae.xlsx	ira	B10	1	example
par-ira-es-0004	Res Parvae	ira	ES	verbal-objective-throw	soltar	soltar ira	manual	Res Parvae.xlsx	ira	C10	0	absent
par-ira-es-0005	Res Parvae	ira	ES	substantive	manojo	Ltos hijos de Putin andan revueltos, han desempolvado manojos de ira y ha sacado por la ventana de la mastodóntica Europa	manual	Res Parvae.xlsx	ira	E10	1	example
par-ira-gt-0001	Res Parvae	ira	GT	verbal-objective-grasp	coger	coger ira	manual	Res Parvae.xlsx	ira	B11	0	absent
par-ira-gt-0002	Res Parvae	ira	GT	verbal-objective-grasp	agarrar	agarrar ira	manual	Res Parvae.xlsx	ira	B11	0	absent
par-ira-gt-0003	Res Parvae	ira	GT	verbal-objective-throw	soltar	soltar ira	manual	Res Parvae.xlsx	ira	C11	0	absent
par-ira-hn-0001	Res Parvae	ira	HN	verbal-objective-grasp	coger	coger ira	manual	Res Parvae.xlsx	ira	B12	0	absent
par-ira-hn-0002	Res Parvae	ira	HN	verbal-objective-grasp	agarrar	agarrar ira	manual	Res Parvae.xlsx	ira	B12	0	absent
par-ira-hn-0003	Res Parvae	ira	HN	verbal-objective-throw	soltar	soltar ira	manual	Res Parvae.xlsx	ira	C12	0	absent
par-ira-mx-0001	Res Parvae	ira	MX	verbal-objective-grasp	coger	coger ira	manual	Res Parvae.xlsx	ira	B13	0	absent
par-ira-mx-0002	Res Parvae	ira	MX	verbal-objective-grasp	agarrar	agarrar ira	manual	Res Parvae.xlsx	ira	B13	0	absent
