drop_id	keep_id	group_size	reason	dropped	kept	excerpt
liq-alegría-us-0004		3	cross-country non-diagnostic; no strong-corpus home (drop all)	alegría/US/Res Liquidae		Los dos rebosan alegría y se sienten muy agradecidos
par-amor-us-0003	par-amor-ar-0004	2	cross-country (kept strongest variant)	amor/US/Res Parvae	amor/AR/Res Parvae	Dany hubiera imaginado que una llamada equivocada iba a traer le amor.
par-amor-ve-0004		4	cross-country non-diagnostic; no strong-corpus home (drop all)	amor/VE/Res Parvae		traer amor
par-amor-do-0001		4	cross-country non-diagnostic; no strong-corpus home (drop all)	amor/DO/Res Parvae		traer amor
par-amor-ec-0001		4	cross-country non-diagnostic; no strong-corpus home (drop all)	amor/EC/Res Parvae		traer amor
par-amor-us-0002		4	cross-country non-diagnostic; no strong-corpus home (drop all)	amor/US/Res Parvae		traer amor
par-tristeza-ar-0001	par-alegría-ar-0002	2	cross-emonym (kept token-present)	tristeza/AR/Res Parvae	alegría/AR/Res Parvae	ARROJAR La primera jornada disputada ayer, arrojó alegrías y tristezas
par-alegría-ec-0001	par-alegría-co-0001	2	cross-country (kept strongest variant)	alegría/EC/Res Parvae	alegría/CO/Res Parvae	Estamos soñando con entregar le una alegría más a nuestro país
par-alegría-cr-0002	par-alegría-co-0002	2	cross-country (kept strongest variant)	alegría/CR/Res Parvae	alegría/CO/Res Parvae	MANOJO 1 Meghan y Harry hablaron de lo fascinados que están con su bun
par-alegría-cr-0003	par-alegría-co-0003	2	cross-country (kept strongest variant)	alegría/CR/Res Parvae	alegría/CO/Res Parvae	ando la bienvenida a no uno, ni a dos, sino a tres nuevos manojos de a
par-alegría-cr-0004	par-alegría-co-0004	2	cross-country (kept strongest variant)	alegría/CR/Res Parvae	alegría/CO/Res Parvae	Amamos tanto a este pequeño manojo de alegría que la idea de dejar lo 
pen-miedo-pr-0001	pen-miedo-ve-0002	2	cross-country (kept strongest variant)	miedo/PR/Res Longae Penetrantes	miedo/VE/Res Longae Penetrantes	las corrientes de el miedo que han penetrado a la opinión pública,
pen-amor-pe-0002	pen-amor-mx-0004	4	cross-country (kept strongest variant)	amor/PE/Res Longae Penetrantes	amor/MX/Res Longae Penetrantes	Un amor que penetra en cada poro de él mismo.
pen-amor-cu-0002	pen-amor-mx-0004	4	cross-country (kept strongest variant)	amor/CU/Res Longae Penetrantes	amor/MX/Res Longae Penetrantes	Un amor que penetra en cada poro de él mismo
pen-amor-do-0001	pen-amor-mx-0004	4	cross-country (kept strongest variant)	amor/DO/Res Longae Penetrantes	amor/MX/Res Longae Penetrantes	Un amor que penetra en cada poro de él mismo
pla-miedo-pe-0001	pla-miedo-ar-0008	2	cross-country (kept strongest variant)	miedo/PE/Res Planae	miedo/AR/Res Planae	El nivel de miedo a lo largo de la nación también subió sustancialment
pla-miedo-bo-0002	pla-miedo-cu-0001	2	cross-country (kept strongest variant)	miedo/BO/Res Planae	miedo/CU/Res Planae	existe tal nivel de miedo y pánico entre las familias
pla-alegría-cl-0001	pla-miedo-co-0001	2	cross-emonym (kept token-present)	alegría/CL/Res Planae	miedo/CO/Res Planae	yo estaba completamente descompuesto por un miedo simple y llano, puro
pla-miedo-cr-0001	pla-miedo-ni-0001	2	cross-country (kept strongest variant)	miedo/CR/Res Planae	miedo/NI/Res Planae	Ojo el nivel de miedo que yo tenía,
pla-amor-co-0004	pla-amor-mx-0002	2	cross-country (kept strongest variant)	amor/CO/Res Planae	amor/MX/Res Planae	he alcanzado un nuevo nivel de amor, de respeto y de admiración
pla-tristeza-ar-0002	pla-tristeza-es-0002	2	cross-country (kept strongest variant)	tristeza/AR/Res Planae	tristeza/ES/Res Planae	el nivel de tristeza se vuelve insoportable
pla-tristeza-ve-0002	pla-tristeza-ve-0001	2	exact-repeat-same-cell	tristeza/VE/Res Planae	tristeza/VE/Res Planae	aumenta el nivel de tristeza, indiferencia o frialdad en la gente
rot-tristeza-ec-0002	rot-amor-es-0002	2	cross-emonym (kept token-present)	tristeza/EC/Res Rotundae	amor/ES/Res Rotundae	melancolía, la apatía, el odio, la tristeza o el amor giraron siempre 
